index,station,date,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day
22,1,2007-05-12,64,46,55,36,46,10, 0,0435,1901, ,0.00,29.49,30.20,12.4,3,12.9,2007,5,12
23,2,2007-05-12,65,47,56,37,46,9, 0,-,-, ,0.00,29.54,30.19,12.7,1,13.0,2007,5,12
24,1,2007-05-13,69,43,56,33,46,9, 0,0434,1902, ,0.00,29.49,30.24,6.6,14,8.1,2007,5,13
25,2,2007-05-13,69,44,57,32,46,8, 0,-,-, ,0.00,29.55,30.24,6.4,11,7.6,2007,5,13
26,1,2007-05-14,90,56,73,47,59,0, 8,0433,1903, ,0.00,29.23,29.97,16.9,21,17.3,2007,5,14
27,2,2007-05-14,90,54,72,45,58,0, 7,-,-, ,0.00,29.31,29.98,14.1,21,14.6,2007,5,14
28,1,2007-05-15,80,57,69,56,61,0, 4,0432,1904,RA BR,0.38,29.13,29.84,8.1,27,12.3,2007,5,15
29,2,2007-05-15,82,56,69,56,61,0, 4,-,-,TSRA RA BR,0.60,29.19,29.83,8.1,25,10.8,2007,5,15
30,1,2007-05-16,66,44,55,43,48,10, 0,0431,1905,RA BR,0.14,29.33,30.03,7.8,36,12.2,2007,5,16
31,2,2007-05-16,64,45,55,42,47,10, 0,-,-,RA BR,0.07,29.39,30.03,8.0,36,11.8,2007,5,16
32,1,2007-05-17,62,43,53,32,43,12, 0,0430,1906, ,0.00,29.55,30.27,10.5,3,11.3,2007,5,17
33,2,2007-05-17,61,44,53,32,43,12, 0,-,-, ,0.00,29.62,30.27,11.7,1,12.2,2007,5,17
34,1,2007-05-18,71,42,57,30,46,8, 0,0429,1907, ,0.00,29.53,30.25,5.4,25,7.5,2007,5,18
35,2,2007-05-18,70,43,57,31,47,8, 0,-,-, ,0.00,29.60,30.26,3.4,22,5.5,2007,5,18
36,1,2007-05-19,80,56,68,39,53,0, 3,0428,1908, ,0.00,29.34,30.08,11.1,24,11.4,2007,5,19
37,2,2007-05-19,80,56,68,37,53,0, 3,-,-, ,0.00,29.41,30.08,11.1,23,11.4,2007,5,19
38,1,2007-05-20,69,43,56,40,44,9, 0,0427,1909,RA VCTS,0.07,29.38,30.11,10.4,4,10.7,2007,5,20
39,2,2007-05-20,69,44,57,41,45,8, 0,-,-,TSRA RA,0.11,29.44,30.11,8.6,3,9.7,2007,5,20
40,1,2007-05-21,80,44,62,50,56,3, 0,0426,1910, ,0.00,29.33,30.06,6.3,11,8.2,2007,5,21
41,2,2007-05-21,79,46,63,50,57,2, 0,-,-, ,0.00,29.39,30.05,6.3,10,7.8,2007,5,21
42,1,2007-05-22,87,55,71,46,58,0, 6,0425,1911, ,0.00,29.34,30.06,10.0,18,10.2,2007,5,22
43,2,2007-05-22,87,60,74,44,58,0, 9,-,-, ,0.00,29.41,30.05,10.1,16,10.6,2007,5,22
44,1,2007-05-23,89,60,75,49,61,0,10,0425,1912, ,0.00,29.39,30.10,11.4,19,11.8,2007,5,23
45,2,2007-05-23,89,66,78,48,61,0,13,-,-, ,0.00,29.47,30.10,10.9,18,11.2,2007,5,23
46,1,2007-05-24,88,63,76,54,63,0,11,0424,1913,RA HZ,0.02,29.41,30.11,14.9,21,17.3,2007,5,24
47,2,2007-05-24,88,66,77,53,63,0,12,-,-,RA HZ,  T,29.47,30.10,13.8,20,15.2,2007,5,24
48,1,2007-05-25,70,56,63,44,53,2, 0,0423,1914, ,  T,29.51,30.24,4.9,5,8.8,2007,5,25
49,2,2007-05-25,66,57,62,46,53,3, 0,-,-,RA BR,0.09,29.57,30.23,4.5,5,8.2,2007,5,25
50,1,2007-05-26,65,49,57,55,56,8, 0,0422,1915,TSRA RA BR HZ,1.01,29.36,30.11,2.8,17,7.2,2007,5,26
51,2,2007-05-26,70,50,60,55,57,5, 0,-,-,TSRA RA BR,0.28,29.42,30.10,2.5,15,7.8,2007,5,26
52,1,2007-05-27,75,57,66,47,56,0, 1,0422,1916,RA BR,0.04,29.34,30.06,8.9,26,9.5,2007,5,27
53,2,2007-05-27,75,59,67,49,57,0, 2,-,-,RA BR,0.08,29.41,30.05,8.2,24,9.2,2007,5,27
54,1,2007-05-28,79,50,65,47,56,0, 0,0421,1916,RA,  T,29.43,30.15,4.8,10,5.3,2007,5,28
55,2,2007-05-28,76,54,65,49,57,0, 0,-,-, ,0.00,29.49,30.14,4.7,8,5.2,2007,5,28
56,1,2007-05-29,88,60,74,58,65,0, 9,0421,1917,BR HZ,0.00,29.39,30.11,5.8,18,6.5,2007,5,29
57,2,2007-05-29,88,65,77,59,66,0,12,-,-,BR HZ,0.00,29.44,30.09,5.8,16,7.4,2007,5,29
58,1,2007-05-30,87,66,77,58,65,0,12,0420,1918,HZ,0.00,29.31,30.04,10.3,19,10.6,2007,5,30
59,2,2007-05-30,89,70,80,57,66,0,15,-,-,HZ,0.00,29.38,30.03,9.7,17,10.1,2007,5,30
60,1,2007-05-31,78,65,72,61,65,0, 7,0420,1919,RA HZ,0.01,29.28,30.00,9.3,19,9.9,2007,5,31
61,2,2007-05-31,80,68,74,61,66,0, 9,-,-,RA BR,0.53,29.34,29.99,8.9,18,9.2,2007,5,31
62,1,2007-06-01,85,62,74,63,66,0, 9,0419,1920,TSRA BR HZ,0.19,29.19,29.91,4.2,17,6.4,2007,6,1
63,2,2007-06-01,86,67,77,63,67,0,12,-,-,TSRA BR HZ,0.21,29.25,29.90,4.7,16,5.8,2007,6,1
64,1,2007-06-02,81,65,73,63,67,0, 8,0419,1920,RA BR,0.04,29.03,29.77,6.5,22,7.4,2007,6,2
65,2,2007-06-02,81,68,75,62,67,0,10,-,-,RA BR,  T,29.10,29.76,7.5,21,8.2,2007,6,2
66,1,2007-06-03,78,62,70,60,63,0, 5,0418,1921,TSRA RA BR HZ,0.01,28.82,29.56,5.2,25,6.7,2007,6,3
67,2,2007-06-03,77,64,71,60,64,0, 6,-,-,RA BR HZ VCTS,0.32,28.87,29.54,4.9,24,7.2,2007,6,3
68,1,2007-06-04,71,58,65,58,60,0, 0,0418,1922,TSRA RA BR,0.39,28.82,29.52,7.8,31,9.7,2007,6,4
69,2,2007-06-04,72,56,64,57,60,1, 0,-,-,RA BR,0.31,28.88,29.51,7.9,30,10.1,2007,6,4
70,1,2007-06-05,64,47,56,48,51,9, 0,0417,1923,RA BR,0.42,29.10,29.79,5.2,5,7.6,2007,6,5
71,2,2007-06-05,63,51,57,47,52,8, 0,-,-,RA BR,0.27,29.16,29.78,6.2,3,8.1,2007,6,5
72,1,2007-06-06,71,44,58,48,55,7, 0,0417,1923,RA,0.01,29.07,29.81,10.8,17,11.4,2007,6,6
73,2,2007-06-06,73,48,61,47,55,4, 0,-,-,RA,  T,29.13,29.82,9.6,15,10.6,2007,6,6
74,1,2007-06-07,91,71,81,62,69,0,16,0417,1924, ,0.00,28.84,29.55,22.7,20,23.1,2007,6,7
75,2,2007-06-07,92,71,82,61,68,0,17,-,-, ,0.00,28.91,29.55,20.3,19,20.7,2007,6,7
76,1,2007-06-08,81,57,69,53,61,0, 4,0417,1925, ,0.00,29.18,29.85,10.9,28,13.8,2007,6,8
77,2,2007-06-08,81,63,72,54,62,0, 7,-,-, ,0.00,29.24,29.83,9.3,26,12.4,2007,6,8
78,1,2007-06-09,79,52,66,47,57,0, 1,0416,1925, ,0.00,29.36,30.07,0.3,33,5.0,2007,6,9
79,2,2007-06-09,79,57,68,49,58,0, 3,-,-, ,0.00,29.42,30.05,2.4,19,4.7,2007,6,9
80,1,2007-06-10,81,55,68,51,59,0, 3,0416,1926, ,0.00,29.34,30.05,4.8,17,5.6,2007,6,10
81,2,2007-06-10,81,61,71,50,60,0, 6,-,-, ,0.00,29.39,30.04,4.6,16,5.8,2007,6,10
82,1,2007-06-11,86,58,72,52,61,0, 7,0416,1926, ,0.00,29.41,30.11,4.9,11,6.9,2007,6,11
83,2,2007-06-11,85,65,75,51,61,0,10,-,-, ,0.00,29.47,30.09,6.6,9,8.4,2007,6,11
84,1,2007-06-12,83,62,73,50,60,0, 8,0416,1927, ,0.00,29.44,30.16,8.3,5,8.8,2007,6,12
85,2,2007-06-12,82,66,74,51,61,0, 9,-,-, ,0.00,29.49,30.14,9.4,5,10.0,2007,6,12
86,1,2007-06-13,87,60,74,53,62,0, 9,0416,1927, ,0.00,29.36,30.09,7.2,5,8.6,2007,6,13
88,1,2007-06-14,89,64,77,55,64,0,12,0416,1928, ,0.00,29.30,30.02,5.6,5,6.8,2007,6,14
89,2,2007-06-14,89,68,79,54,63,0,14,-,-, ,0.00,29.36,30.00,5.9,7,6.4,2007,6,14
90,1,2007-06-15,91,63,77,56,64,0,12,0416,1928, ,0.00,29.28,29.99,4.1,6,4.9,2007,6,15
91,2,2007-06-15,89,67,78,56,65,0,13,-,-, ,0.00,29.34,29.97,3.8,9,4.1,2007,6,15
92,1,2007-06-16,93,66,80,60,67,0,15,0416,1929,RA HZ,  T,29.26,29.97,4.8,28,5.8,2007,6,16
93,2,2007-06-16,92,68,80,61,68,0,15,-,-,HZ,  T,29.33,29.96,2.1,22,6.1,2007,6,16
94,1,2007-06-17,91,70,81,64,70,0,16,0416,1929,HZ,0.00,29.23,29.95,2.8,11,6.3,2007,6,17
95,2,2007-06-17,91,71,81,65,70,0,16,-,-,HZ,0.16,29.28,29.93,4.0,11,6.1,2007,6,17
96,1,2007-06-18,89,69,79,65,70,0,14,0416,1929,TSRA RA HZ,0.28,29.12,29.84,14.0,20,15.1,2007,6,18
97,2,2007-06-18,89,73,81,65,70,0,16,-,-,TSRA RA HZ,0.02,29.19,29.83,12.2,20,12.6,2007,6,18
98,1,2007-06-19,80,65,73,55,63,0, 8,0416,1930,RA,0.58,29.26,29.95,10.7,28,11.4,2007,6,19
99,2,2007-06-19,81,65,73,55,63,0, 8,-,-,RA BR,0.93,29.31,29.93,10.1,29,11.3,2007,6,19
100,1,2007-06-20,84,61,73,52,61,0, 8,0416,1930, ,0.00,29.39,30.10,7.8,27,8.8,2007,6,20
101,2,2007-06-20,85,62,74,50,61,0, 9,-,-, ,0.00,29.46,30.09,5.9,28,7.7,2007,6,20
102,1,2007-06-21,77,61,69,51,60,0, 4,0416,1930,RA,0.01,29.36,30.08,3.5,3,10.7,2007,6,21
103,2,2007-06-21,80,66,73,51,61,0, 8,-,-,RA,  T,29.41,30.06,3.7,2,9.6,2007,6,21
104,1,2007-06-22,76,61,69,50,58,0, 4,0417,1931,RA,  T,29.33,30.06,7.8,6,8.7,2007,6,22
105,2,2007-06-22,75,62,69,49,58,0, 4,-,-,RA,  T,29.39,30.05,6.5,7,8.1,2007,6,22
106,1,2007-06-23,67,62,65,58,61,0, 0,0417,1931,RA BR,0.05,29.23,29.96,7.6,12,9.0,2007,6,23
107,2,2007-06-23,68,61,65,60,62,0, 0,-,-,RA BR,0.34,29.28,29.95,7.3,11,8.1,2007,6,23
108,1,2007-06-24,77,63,70,62,65,0, 5,0417,1931,BR HZ,0.00,29.26,29.97,7.0,9,8.0,2007,6,24
109,2,2007-06-24,75,65,70,62,65,0, 5,-,-,BR HZ,0.00,29.33,29.96,5.6,10,6.0,2007,6,24
110,1,2007-06-25,89,65,77,66,70,0,12,0417,1931,BR HZ,0.00,29.38,30.07,3.9,14,6.8,2007,6,25
111,2,2007-06-25,86,67,77,67,70,0,12,-,-,BR HZ,0.00,29.44,30.06,4.0,12,5.9,2007,6,25
112,1,2007-06-26,92,70,81,69,72,0,16,0418,1931,TSRA BR HZ VCTS,0.16,29.39,30.11,6.1,22,7.1,2007,6,26
113,2,2007-06-26,91,73,82,69,72,0,17,-,-,BR HZ,  T,29.45,30.09,7.3,21,8.1,2007,6,26
114,1,2007-06-27,91,71,81,70,72,0,16,0418,1931,TSRA,0.15,29.29,30.02,7.5,24,8.8,2007,6,27
115,2,2007-06-27,89,71,80,69,72,0,15,-,-,TSRA RA BR,0.35,29.36,30.00,7.9,24,8.5,2007,6,27
116,1,2007-06-28,74,58,66,55,60,0, 1,0419,1931, ,0.00,29.41,30.09,11.9,3,12.5,2007,6,28
119,2,2007-06-29,71,56,64,56,60,1, 0,-,-, ,M,29.47,30.11,7.4,2,8.2,2007,6,29
120,1,2007-06-30,79,54,67,46,56,0, 2,0419,1931, ,0.00,29.41,30.13,4.9,3,5.8,2007,6,30
121,2,2007-06-30,77,58,68,49,58,0, 3,-,-, ,0.00,29.46,30.11,5.1,4,6.2,2007,6,30
122,1,2007-07-01,75,54,65,52,58,0, 0,0420,1931, ,0.00,29.51,30.23,8.6,4,8.6,2007,7,1
123,2,2007-07-01,76,61,69,51,59,0, 4,-,-, ,0.00,29.56,30.21,9.5,4,9.7,2007,7,1
124,1,2007-07-02,79,53,66,50,58,0, 1,0420,1931, ,0.00,29.49,30.22,5.9,14,8.1,2007,7,2
125,2,2007-07-02,77,58,68,50,59,0, 3,-,-, ,0.00,29.55,30.21,7.4,12,8.5,2007,7,2
126,1,2007-07-03,83,60,72,57,63,0, 7,0421,1931,TSRA RA BR,0.40,29.31,30.06,6.7,21,7.3,2007,7,3
127,2,2007-07-03,83,63,73,56,63,0, 8,-,-,TSRA RA,0.09,29.38,30.05,6.4,21,7.4,2007,7,3
128,1,2007-07-04,86,67,77,65,69,0,12,0422,1930,TSRA BR HZ FU,0.16,29.18,29.90,4.6,27,8.2,2007,7,4
129,2,2007-07-04,84,67,76,65,69,0,11,-,-,TSRA RA HZ FU,0.66,29.23,29.88,3.1,25,8.8,2007,7,4
130,1,2007-07-05,89,71,80,60,67,0,15,0422,1930,BR HZ FU,0.00,29.24,29.94,6.4,31,8.1,2007,7,5
131,2,2007-07-05,88,70,79,60,67,0,14,-,-,BR,0.00,29.29,29.92,4.3,33,6.9,2007,7,5
132,1,2007-07-06,86,66,76,57,64,0,11,0423,1930, ,0.00,29.32,30.03,3.2,5,5.5,2007,7,6
133,2,2007-07-06,84,68,76,57,65,0,11,-,-, ,0.00,29.38,30.01,3.3,7,5.5,2007,7,6
134,1,2007-07-07,90,64,77,63,69,0,12,0423,1930, ,0.00,29.18,29.91,8.4,22,8.6,2007,7,7
135,2,2007-07-07,88,68,78,62,68,0,13,-,-, ,0.00,29.24,29.90,7.4,23,8.1,2007,7,7
136,1,2007-07-08,94,75,85,67,72,0,20,0424,1929, ,0.00,29.05,29.77,12.9,24,13.1,2007,7,8
137,2,2007-07-08,93,75,84,67,72,0,19,-,-, ,0.00,29.12,29.76,12.6,23,12.7,2007,7,8
138,1,2007-07-09,94,70,82,66,70,0,17,0425,1929,TSRA RA VCTS,0.30,29.11,29.80,4.9,24,8.8,2007,7,9
139,2,2007-07-09,93,72,83,67,71,0,18,-,-,RA,0.24,29.16,29.79,4.8,23,8.8,2007,7,9
140,1,2007-07-10,89,69,79,67,70,0,14,0425,1929,HZ VCTS,0.43,29.06,29.77,8.6,23,10.5,2007,7,10
141,2,2007-07-10,89,70,80,67,71,0,15,-,-,TSRA HZ,0.08,29.13,29.76,8.2,23,10.2,2007,7,10
142,1,2007-07-11,77,62,70,51,59,0, 5,0426,1928, ,0.00,29.23,29.93,8.8,30,10.9,2007,7,11
143,2,2007-07-11,77,63,70,51,59,0, 5,-,-, ,0.00,29.28,29.92,9.1,30,11.2,2007,7,11
144,1,2007-07-12,80,61,71,51,59,0, 6,0427,1928, ,0.00,29.22,29.93,9.4,29,11.1,2007,7,12
145,2,2007-07-12,80,60,70,51,60,0, 5,-,-,VCTS,0.00,29.28,29.92,10.0,28,11.4,2007,7,12
146,1,2007-07-13,78,58,68,52,58,0, 3,0428,1927, ,0.00,29.26,29.98,1.4,1,5.3,2007,7,13
147,2,2007-07-13,74,59,67,53,59,0, 2,-,-, ,0.00,29.33,29.98,2.0,7,5.8,2007,7,13
148,1,2007-07-14,84,61,73,55,62,0, 8,0428,1927, ,0.00,29.08,29.79,8.3,26,13.2,2007,7,14
149,2,2007-07-14,85,62,74,55,62,0, 9,-,-, ,0.00,29.14,29.79,8.4,25,13.9,2007,7,14
150,1,2007-07-15,82,60,71,53,61,0, 6,0429,1926, ,0.00,29.19,29.89,2.1,29,4.9,2007,7,15
151,2,2007-07-15,80,64,72,52,61,0, 7,-,-, ,0.00,29.25,29.88,1.2,9,6.5,2007,7,15
152,1,2007-07-16,82,65,74,60,65,0, 9,0430,1925,RA BR,0.39,29.25,29.96,4.4,24,5.2,2007,7,16
153,2,2007-07-16,82,66,74,60,65,0, 9,-,-,TSRA RA,0.07,29.31,29.94,5.6,23,6.6,2007,7,16
154,1,2007-07-17,83,68,76,66,69,0,11,0431,1925,RA BR VCTS,0.11,29.18,29.90,5.2,23,6.5,2007,7,17
155,2,2007-07-17,83,69,76,65,69,0,11,-,-,RA BR,0.11,29.24,29.89,6.3,23,7.4,2007,7,17
156,1,2007-07-18,85,69,77,68,71,0,12,0432,1924,TSRA RA BR VCTS,1.55,29.11,29.84,9.1,24,10.1,2007,7,18
157,2,2007-07-18,85,69,77,69,71,0,12,-,-,TS TSRA RA BR HZ VCTS,0.92,29.18,29.83,10.3,24,10.6,2007,7,18
158,1,2007-07-19,83,63,73,63,66,0, 8,0433,1923,DZ BR,0.16,29.21,29.90,7.0,1,11.9,2007,7,19
159,2,2007-07-19,82,63,73,62,66,0, 8,-,-,BR HZ,0.01,29.26,29.88,7.7,36,14.4,2007,7,19
160,1,2007-07-20,75,58,67,53,59,0, 2,0433,1923, ,0.00,29.44,30.14,8.6,3,9.1,2007,7,20
161,2,2007-07-20,74,62,68,52,59,0, 3,-,-, ,0.00,29.49,30.12,11.3,4,11.5,2007,7,20
162,1,2007-07-21,74,58,66,52,58,0, 1,0434,1922, ,0.00,29.51,30.22,6.5,3,7.4,2007,7,21
163,2,2007-07-21,75,58,67,52,59,0, 2,-,-, ,0.00,29.57,30.21,5.8,4,7.4,2007,7,21
164,1,2007-07-22,81,58,70,55,61,0, 5,0435,1921, ,0.00,29.49,30.21,1.7,16,3.3,2007,7,22
165,2,2007-07-22,81,61,71,54,61,0, 6,-,-, ,0.00,29.54,30.20,1.9,18,3.5,2007,7,22
166,1,2007-07-23,83,60,72,55,63,0, 7,0436,1920, ,0.00,29.37,30.10,3.2,9,4.0,2007,7,23
167,2,2007-07-23,82,63,73,55,63,0, 8,-,-, ,0.00,29.42,30.09,2.9,12,3.9,2007,7,23
168,1,2007-07-24,82,65,74,58,64,0, 9,0437,1919, ,0.00,29.32,30.04,3.1,20,5.2,2007,7,24
169,2,2007-07-24,82,65,74,57,64,0, 9,-,-, ,  T,29.38,30.03,1.1,21,4.9,2007,7,24
170,1,2007-07-25,85,71,78,61,67,0,13,0438,1918, ,  T,29.29,30.00,5.8,25,6.6,2007,7,25
171,2,2007-07-25,83,70,77,60,66,0,12,-,-, ,0.00,29.35,29.99,6.4,23,7.0,2007,7,25
172,1,2007-07-26,83,66,75,65,68,0,10,0439,1918,TS TSRA RA BR HZ,0.19,29.19,29.92,7.2,22,9.4,2007,7,26
173,2,2007-07-26,84,64,74,65,68,0, 9,-,-,TS TSRA BR HZ,0.89,29.25,29.91,7.2,22,9.9,2007,7,26
174,1,2007-07-27,83,70,77,68,70,0,12,0440,1917,RA BR HZ,0.17,29.11,29.82,3.0,3,7.9,2007,7,27
175,2,2007-07-27,83,70,77,67,70,0,12,-,-,RA BR HZ,0.04,29.16,29.80,1.2,36,8.1,2007,7,27
176,1,2007-07-28,80,66,73,65,68,0, 8,0441,1916,BR HZ,0.00,29.23,29.93,10.0,3,10.2,2007,7,28
177,2,2007-07-28,80,70,75,65,68,0,10,-,-,BR HZ,0.00,29.28,29.91,10.6,3,10.7,2007,7,28
178,1,2007-07-29,85,63,74,57,64,0, 9,0442,1915, ,0.00,29.28,29.99,4.8,5,5.7,2007,7,29
179,2,2007-07-29,85,67,76,56,64,0,11,-,-, ,0.00,29.34,29.97,6.3,5,6.9,2007,7,29
180,1,2007-07-30,89,62,76,55,64,0,11,0443,1914, ,0.00,29.33,30.03,3.8,6,4.3,2007,7,30
181,2,2007-07-30,86,65,76,57,65,0,11,-,-, ,0.00,29.39,30.01,3.1,6,4.6,2007,7,30
182,1,2007-07-31,91,68,80,61,68,0,15,0444,1913, ,0.00,29.33,30.04,3.3,4,4.9,2007,7,31
183,2,2007-07-31,89,69,79,60,68,0,14,-,-, ,0.00,29.39,30.02,4.0,7,5.0,2007,7,31
184,1,2007-08-01,92,69,81,62,69,0,16,0445,1911,HZ,0.00,29.29,30.00,3.5,9,4.1,2007,8,1
185,2,2007-08-01,91,69,80,63,70,0,15,-,-, ,0.00,29.34,29.98,2.1,13,3.7,2007,8,1
186,1,2007-08-02,91,70,81,66,71,0,16,0446,1910,HZ,0.00,29.26,29.97,5.5,26,5.9,2007,8,2
187,2,2007-08-02,91,73,82,66,72,0,17,-,-, ,0.00,29.31,29.95,6.5,23,7.2,2007,8,2
188,1,2007-08-03,90,69,80,56,66,0,15,0447,1909, ,0.00,29.31,30.02,2.7,3,5.7,2007,8,3
189,2,2007-08-03,88,73,81,58,67,0,16,-,-, ,0.00,29.36,30.00,3.3,6,5.8,2007,8,3
190,1,2007-08-04,81,64,73,58,64,0, 8,0448,1908,RA,0.03,29.31,30.03,5.7,8,6.1,2007,8,4
191,2,2007-08-04,81,68,75,58,65,0,10,-,-,RA,0.02,29.36,30.01,5.9,9,6.6,2007,8,4
192,1,2007-08-05,88,67,78,71,73,0,13,0449,1907,TSRA RA BR HZ,1.43,29.08,29.81,5.4,21,9.6,2007,8,5
193,2,2007-08-05,88,68,78,71,72,0,13,-,-,TSRA RA BR VCTS,0.97,29.15,29.79,7.0,22,10.2,2007,8,5
194,1,2007-08-06,88,74,81,72,74,0,16,0450,1906,TSRA RA BR HZ,0.26,29.13,29.83,1.6,10,4.9,2007,8,6
195,2,2007-08-06,85,75,80,72,74,0,15,-,-,TS TSRA BR HZ,0.05,29.17,29.81,2.6,10,4.6,2007,8,6
196,1,2007-08-07,91,72,82,73,76,0,17,0451,1904,RA BR,1.31,29.06,29.76,6.2,25,9.0,2007,8,7
197,2,2007-08-07,92,73,83,73,76,0,18,-,-,VCTS,0.06,29.11,29.74,6.3,24,8.8,2007,8,7
198,1,2007-08-08,87,73,80,71,73,0,15,0452,1903,TSRA RA BR,0.06,29.13,29.83,3.0,3,6.9,2007,8,8
199,2,2007-08-08,87,74,81,72,74,0,16,-,-,TSRA RA DZ BR HZ,0.09,29.18,29.81,1.5,4,6.4,2007,8,8
200,1,2007-08-09,84,72,78,71,73,0,13,0453,1902,TSRA RA,0.05,29.13,29.84,2.5,29,6.0,2007,8,9
201,2,2007-08-09,85,73,79,71,73,0,14,-,-,TSRA BR HZ,0.46,29.19,29.82,3.1,27,6.3,2007,8,9
202,1,2007-08-10,86,70,78,68,72,0,13,0454,1900,BR,0.00,29.26,29.96,4.5,2,5.9,2007,8,10
203,2,2007-08-10,86,73,80,69,72,0,15,-,-, ,0.00,29.32,29.94,3.0,6,5.4,2007,8,10
204,1,2007-08-11,89,67,78,65,70,0,13,0455,1859,BR HZ,0.00,29.31,30.02,3.2,19,3.9,2007,8,11
205,2,2007-08-11,88,68,78,65,70,0,13,-,-,BR HZ,0.00,29.38,30.00,3.1,20,3.9,2007,8,11
206,1,2007-08-12,88,67,78,67,71,0,13,0456,1858,TSRA,0.29,29.34,30.06,1.7,6,5.4,2007,8,12
207,2,2007-08-12,87,68,78,67,70,0,13,-,-,TSRA,0.23,29.40,30.04,1.9,6,6.6,2007,8,12
208,1,2007-08-13,81,65,73,57,64,0, 8,0457,1856,BR,0.00,29.39,30.11,6.2,6,6.9,2007,8,13
209,2,2007-08-13,80,69,75,54,63,0,10,-,-, ,0.00,29.44,30.08,6.9,8,7.7,2007,8,13
210,1,2007-08-14,84,65,75,67,70,0,10,0458,1855,TS TSRA RA BR,0.41,29.23,29.93,5.9,25,8.0,2007,8,14
211,2,2007-08-14,84,65,75,66,69,0,10,-,-,TSRA RA BR,0.45,29.29,29.92,6.4,23,9.0,2007,8,14
212,1,2007-08-15,80,71,76,67,70,0,11,0459,1854,TSRA RA BR,0.23,29.17,29.89,3.4,7,5.8,2007,8,15
213,2,2007-08-15,81,72,77,69,71,0,12,-,-,TS TSRA RA BR,0.83,29.23,29.87,4.9,6,7.1,2007,8,15
214,1,2007-08-16,77,65,71,64,67,0, 6,0500,1852,BR,0.00,29.28,29.97,3.6,1,5.7,2007,8,16
215,2,2007-08-16,77,67,72,65,68,0, 7,-,-,BR,0.00,29.33,29.95,3.5,1,5.7,2007,8,16
216,1,2007-08-17,79,60,70,54,61,0, 5,0501,1851, ,0.00,29.41,30.10,5.9,32,6.8,2007,8,17
217,2,2007-08-17,80,65,73,54,62,0, 8,-,-, ,0.00,29.46,30.08,6.1,31,7.4,2007,8,17
218,1,2007-08-18,68,59,64,54,58,1, 0,0502,1849,RA,0.09,29.44,30.16,6.4,12,8.1,2007,8,18
